System.Time_Stamp,vtti.timestamp,FOT_Control.Speed,Head_Unit.Longitude,Head_Unit.Latitude,Head_Unit.MSL_Altitude,IMU.Gyro_X,IMU.Gyro_Y,IMU.Gyro_Z,IMU.Accel_X,IMU.Accel_Y,IMU.Accel_Z
1,0, , , , , , , , , , 
2,1622, , , , , , , , , , 
3,1900, , , , , , , ,0.0029,-0.0087,-0.9889
4,2000, , , , ,-0.325195,-0.325195,-0.325195,0,-0.0058,-0.9918
5,2100, , , , , , , ,0.0029,-0.0087,-0.9889
6,2229, , , , ,-0.325195,0,-0.325195, , , 
7,2296, , , , , , , , , , 
8,2399,0, , , ,-0.650391,-0.325195,0,0.0029,-0.0058,-0.9889
9,2500,0, , , ,0,-0.325195,-0.325195,0.0029,-0.0087,-0.9918
10,2599,0, , , ,-0.650391,-0.325195,-0.325195,0,-0.0087,-0.9889
11,2700,0, , , ,-0.325195,0,0,0.0029,-0.0029,-0.9889
12,2800,0, , , ,-0.325195,0,0,0,-0.0087,-0.9918
13,2899,0, , , ,-0.325195,0,0,0.0029,-0.0087,-0.9918
14,3000,0, , , ,-0.325195,-0.325195,0,0.0029,-0.0058,-0.9889
15,3100,0, , , ,-0.325195,-0.325195,0,0.0029,-0.0087,-0.9918
16,3200,0, , , , , , ,0.0029,-0.0087,-0.9889
17,3299,0, , , ,-0.650391,0,0,0.0029,-0.0058,-0.9918
18,3400,0,121.501839,31.286846,4,-0.325195,-0.325195,0,0,-0.0058,-0.9918
19,3499,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0087,-0.9889
20,3600,0, , , ,-0.325195,-0.325195,-0.325195,0,-0.0087,-0.9918
21,3699,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9918
22,3800,0, , , ,0,0,-0.325195,0.0029,-0.0058,-0.9889
23,3899,0, , , ,-0.325195,0,0,0.0029,-0.0087,-0.9918
24,4000,0, , , ,-0.325195,-0.325195,-0.325195,0,-0.0058,-0.9889
25,4100,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0058,-0.9889
26,4200,0, , , , , , ,0.0029,-0.0058,-0.9918
27,4299,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0087,-0.9889
28,4400,0,121.501839,31.286846,4,-0.325195,0,-0.325195,0.0029,-0.0087,-0.9918
29,4499,0, , , ,-0.325195,-0.325195,0,0,-0.0058,-0.9889
30,4600,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9918
31,4699,0, , , ,-0.650391,-0.325195,0,0,-0.0087,-0.9918
32,4800,0, , , ,-0.650391,0,-0.325195,0.0029,-0.0087,-0.9918
33,4899,0, , , ,-0.325195,0,0,0,-0.0058,-0.9889
34,5000,0, , , ,-0.325195,-0.325195,-0.325195,0.0029,-0.0087,-0.9918
35,5100,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
36,5200,0, , , , , , ,0.0029,-0.0087,-0.9918
