time,speed,accel,event_type,event_id,seq,s_s_num,trip_event_id,driver_id,trip_id
1610,0.234375,0.029,start,1,1,1,1,2,1
1611,0.199653,0.0203,start,1,2,1,1,2,1
1612,0.269097,0.0348,start,1,3,1,1,2,1
1613,0.225694,0.0348,start,1,4,1,1,2,1
1614,0.638021,0.0348,start,1,5,1,1,2,1
1615,0.672743,0.0261,start,1,6,1,1,2,1
1616,0.746528,0.0174,start,1,7,1,1,2,1
1617,0.716146,0.0203,start,1,8,1,1,2,1
1618,0.742188,0.0319,start,1,9,1,1,2,1
1619,0.833333,0.0261,start,1,10,1,1,2,1
1620,0.863715,0.0116,start,1,11,1,1,2,1
1621,0.885417,0.0029,start,1,12,1,1,2,1
1622,0.915799,0.0029,start,1,13,1,1,2,1
1623,0.928819,0.0116,start,1,14,1,1,2,1
1624,0.9375,0.0058,start,1,15,1,1,2,1
1625,0.959201,0,start,1,16,1,1,2,1
1626,0.972222,0.0058,start,1,17,1,1,2,1
1627,0.985243,0.0145,start,1,18,1,1,2,1
1628,1.011285,0.0203,start,1,19,1,1,2,1
1629,0.946181,0.0116,start,1,20,1,1,2,1
1630,1.041667,0.0174,start,1,21,1,1,2,1
1631,1.072049,0.0203,start,1,22,1,1,2,1
1632,1.09375,0.0145,start,1,23,1,1,2,1
1633,1.119792,0.0087,start,1,24,1,1,2,1
1634,1.137153,0.0087,start,1,25,1,1,2,1
1635,1.158854,0.0145,start,1,26,1,1,2,1
1636,1.176215,0.0174,start,1,27,1,1,2,1
1637,1.202257,0.0232,start,1,28,1,1,2,1
1638,1.236979,0.0261,start,1,29,1,1,2,1
1639,1.271701,0.0348,start,1,30,1,1,2,1
1640,1.323785,0.0493,start,1,31,1,1,2,1
1641,1.384549,0.058,start,1,32,1,1,2,1
1642,1.453993,0.0522,start,1,33,1,1,2,1
1643,1.523438,0.0522,start,1,34,1,1,2,1
1644,1.597222,0.058,start,1,35,1,1,2,1
1645,1.640625,0.0377,start,1,36,1,1,2,1
1646,1.688368,0.0232,start,1,37,1,1,2,1
